tablescraper-selected-row,tablescraper-selected-row href,grey,linkified,linkified href
"Today The Princess Royal visited Northampton. The Princess opened Siri Guru Singh Sabha, Northampton's new Gurdwara and Sikh Community Centre and Youth Club's new hub.",https://twitter.com/RoyalFamily/status/1387129805997543429,"Apr 27, 2021",https://t.co/Q3DbKTNcv3,http://t.co/Q3DbKTNcv3
"There are more than 170 Ambassadors and High Commissions based in London. Each have an Audience of The Queen shortly after taking up their role.
 
Find out more about Audiences on our website",https://twitter.com/RoyalFamily/status/1387049429593559049,"Apr 27, 2021",https://t.co/jsAyH3IqV1,http://t.co/jsAyH3IqV1
"Today The Queen held Audiences with incoming Ambassadors via video link from Windsor Castle to Buckingham Palace. 
🇱🇻Her Excellency Mrs Ivita Burmistre, Ambassador from the Republic of Latvia.
🇨🇮Her Excellency Mrs Sara Affoue Amani, Ambassador from the Republic of Côte d'Ivoire.",https://twitter.com/RoyalFamily/status/1387049076126928897,"Apr 27, 2021",https://t.co/LIjQWwacLp,http://t.co/LIjQWwacLp
"“We stand in awe of what has been achieved.""
 
The Gambia has become the second sub-Saharan African country to successfully eliminate trachoma, and The Countess congratulated Her Excellency Dr Isatou Touray, Vice-President, The Gambia, on this historic milestone.",https://twitter.com/RoyalFamily/status/1386636264619794432,"Apr 26, 2021",https://t.co/mhiNUgr629,http://t.co/mhiNUgr629
"“In our lifetime, to see something that has destroyed so many lives actually being beaten is wonderful.”
 
At the end of March, The Countess of Wessex was joined by The Gambian Government, @MoHGambia, @IAPB1, @Sightsavers and @LSHTM, to mark The Gambia’s elimination of trachoma.",https://twitter.com/RoyalFamily/status/1386635744169676802,"Apr 26, 2021",https://t.co/ttZLsG3k7l,http://t.co/ttZLsG3k7l
".@WHO has announced that The Gambia has become trachoma free 🎉
 
Trachoma is the world’s most infectious cause of blindness. As Global Ambassador for the @IAPB1, The Countess of Wessex has congratulated those who have worked together for decades towards this goal.",https://twitter.com/RoyalFamily/status/1386633497264197637,"Apr 26, 2021",https://t.co/abHFYqauDw,http://t.co/abHFYqauDw
"The Princess Royal and Vice Admiral Sir Tim Laurence attended the Anzac Day Service of Commemoration and Thanksgiving at Westminster Abbey this afternoon.

📸 HRH speaks to the High Commissioners of Australia 🇦🇺 and New Zealand 🇳🇿",https://twitter.com/RoyalFamily/status/1386335263249649665,"Apr 25, 2021",https://t.co/q7mV5NjHle,http://t.co/q7mV5NjHle
"#AnzacDay marks the Australian and New Zealand landings at Gallipoli in 1915.

This morning, The Princess Royal laid a wreath at both the Australian and New Zealand War Memorials, and signed a Book of Remembrance.",https://twitter.com/RoyalFamily/status/1386267528138313728,"Apr 25, 2021",https://t.co/cn5fHlOlwp,http://t.co/cn5fHlOlwp
"Early this morning, The Princess Royal and Vice Admiral Sir Tim Laurence attended the #AnzacDay Dawn Service at Wellington Arch, on behalf of The Royal Family. 

On #AnzacDay we pay tribute to all those who gave their lives serving in the Australian and New Zealand Army Corps.",https://twitter.com/RoyalFamily/status/1386265307866664961,"Apr 25, 2021",https://t.co/DmaWVyP8nn,http://t.co/DmaWVyP8nn
"RT @ClarenceHouse: As Australia and New Zealand mark #AnzacDay on Sunday, we pay tribute to all the men and women in the Australian and New…",https://twitter.com/RoyalFamily/status/1386237145560530944,"Apr 25, 2021",,
"RT @KensingtonRoyal: “This Anzac Day, Catherine and I join Australians and New Zealanders across the world to remember and honour the servi…",https://twitter.com/RoyalFamily/status/1386237086408323073,"Apr 25, 2021",,
RT @BritishArmy: On ANZAC Day we remember the members of the Australian and New Zealand Army Corps who fell at Gallipoli in WW1. @NZArmy @A…,https://twitter.com/RoyalFamily/status/1386234175909412864,"Apr 25, 2021",,
"RT @KensingtonRoyal: Three tomorrow! 🚲

Taken earlier this week by The Duchess before he left for his first day of nursery, The Duke and Du…",https://twitter.com/RoyalFamily/status/1385494186577825792,"Apr 23, 2021",,
"The Princess Royal has visited three @gloshospitals to thank staff for their hard work over the last year.

HRH opened a new commemorative garden which has been dedicated to loved ones lost to the pandemic, and contains hundreds of wire dandelions, in memory of each patient.",https://twitter.com/RoyalFamily/status/1384906631662682113,"Apr 21, 2021",https://t.co/fllcyBGYwf,http://t.co/fllcyBGYwf
"RT @KensingtonRoyal: In 2015, The Duke of Edinburgh passed his @aircadets military patronage to The Duchess of Cambridge, who became Honora…",https://twitter.com/RoyalFamily/status/1384897140594520068,"Apr 21, 2021",,
"RT @KensingtonRoyal: Paying tribute to His Royal Highness The Duke of Edinburgh, who served as Air Commodore-in-Chief of the @aircadets for…",https://twitter.com/RoyalFamily/status/1384897109741215744,"Apr 21, 2021",,
The Queen’s message to people across the world who have sent tributes and messages of condolence following the death of The Duke of Edinburgh.,https://twitter.com/RoyalFamily/status/1384824648693604356,"Apr 21, 2021",https://t.co/1apW7s1zXS,http://t.co/1apW7s1zXS
"Today is The Queen’s 95th birthday. 

HM was born on 21 April 1926 at 17 Bruton Street in London, the first child of The Duke and Duchess of York. 

This year The Queen remains at Windsor Castle during a period of Royal Mourning following the death of The Duke of Edinburgh.",https://twitter.com/RoyalFamily/status/1384779729362894849,"Apr 21, 2021",https://t.co/kOeH399Ndp,http://t.co/kOeH399Ndp
"In loving memory of His Royal Highness The Prince Philip, Duke of Edinburgh.

1921-2021",https://twitter.com/RoyalFamily/status/1383498768507576335,"Apr 17, 2021",https://t.co/NJift8VoGV,http://t.co/NJift8VoGV
"This afternoon, The Duke of Edinburgh’s Funeral took place at Windsor Castle.

It was a family occasion which recognised His Royal Highness’s military associations and included some unique personal touches, in line with The Duke’s wishes:",https://twitter.com/RoyalFamily/status/1383464967064543240,"Apr 17, 2021",https://t.co/utgjrb8rmD,http://t.co/utgjrb8rmD
"‘The Last Post’ is sounded by Buglers of the @RoyalMarines, signalling that a soldier has gone to his final resting place. 

It is followed by ‘Action Stations’, a naval call to battle, as requested by The Duke of Edinburgh.",https://twitter.com/RoyalFamily/status/1383454972918910980,"Apr 17, 2021",https://t.co/1KsyPIxJVA,http://t.co/1KsyPIxJVA
"As the nation falls silent in memory of The Duke of Edinburgh, the @royalmarine Bearer Party pause on the West Steps, which is lined by members of the Household Cavalry.

The Duke’s Admiral of the Fleet Naval Cap and his Sword, given to him by King George VI, rest on the coffin.",https://twitter.com/RoyalFamily/status/1383454096481427463,"Apr 17, 2021",https://t.co/RBC17xhVye,http://t.co/RBC17xhVye
"The Funeral procession moves from the Quadrangle of Windsor Castle to St George’s Chapel.

The coffin is carried by a Land Rover designed by The Duke of Edinburgh, & accompanied by Armed Forces representatives, members of the Royal Family, The Duke's Household and The Queen.",https://twitter.com/RoyalFamily/status/1383442336227598337,"Apr 17, 2021",https://t.co/w0AhnbP95y,http://t.co/w0AhnbP95y
"Regiments with a special relationship to The Duke of Edinburgh form up in the Quadrangle at Windsor Castle.

Military bands play music including ‘I Vow to Thee My Country’ and ‘Jerusalem’.",https://twitter.com/RoyalFamily/status/1383422342831869966,"Apr 17, 2021",https://t.co/Pak2TqVW8v,http://t.co/Pak2TqVW8v
"The Procession and Funeral Service will be available to watch in the UK and around the world via the Royal Family’s YouTube Channel. It will also be broadcast on BBC One.
 
The @YouTube live stream will commence at 2.30pm ⬇️",https://twitter.com/RoyalFamily/status/1383374988804169728,"Apr 17, 2021",https://t.co/wjRRLEzSHF,http://t.co/wjRRLEzSHF
"The Duke of Edinburgh’s Funeral will begin with a national minute's silence at 3pm BST.

The service will be conducted by the Dean of Windsor alongside the Archbishop of Canterbury. The hymns & readings have been chosen by The Duke. Visit  for details.",https://twitter.com/RoyalFamily/status/1383366648871063553,"Apr 17, 2021",https://t.co/hPKbNfhS1b,http://t.co/hPKbNfhS1b
"A montage to commemorate the extraordinary life of The Duke of Edinburgh, made unique by its sheer breadth of experience, and the wartime generation he was part of.

With words by the Poet Laureate,
The Patriarchs - An Elegy.",https://twitter.com/RoyalFamily/status/1383326258654695431,"Apr 17, 2021",https://t.co/rUr1cNi8lS,http://t.co/rUr1cNi8lS
"The Queen wishes to share this private photograph taken with The Duke of Edinburgh at the top of the Coyles of Muick, Scotland in 2003.

📷Photograph by The Countess of Wessex.",https://twitter.com/RoyalFamily/status/1383163548268953601,"Apr 16, 2021",https://t.co/CE030Ux0UB,http://t.co/CE030Ux0UB
"The engagement of Lieutenant Philip Mountbatten to Princess Elizabeth was announced in July 1947 and the marriage took place in @wabbey on 20 Nov 1947. 

In 2017 The Queen and The Duke became the first couple in the Royal Family to celebrate their Platinum Wedding anniversary.",https://twitter.com/RoyalFamily/status/1383156920513658881,"Apr 16, 2021",https://t.co/LoFKfzNxCn,http://t.co/LoFKfzNxCn
"The Duke of Edinburgh was a loving husband and a devoted father, grandfather and great-grandfather.

The Queen and The Duke’s enduring marriage has seen them support each other through many years of Royal duties and raising a family together.",https://twitter.com/RoyalFamily/status/1383154964818694146,"Apr 16, 2021",https://t.co/qEvDwNbBlm,http://t.co/qEvDwNbBlm
The insignia will be laid at the altar in St George’s Chapel for the Funeral Service.,https://twitter.com/RoyalFamily/status/1383135592205156354,"Apr 16, 2021",https://t.co/MJMLhuphXu,http://t.co/MJMLhuphXu
"The Duke of Edinburgh's insignia represent HRH’s status in a variety of countries and institutions. 

They include his Field Marshal's baton and Royal Air Force Wings, together with decorations from orders of chivalry in the UK, Denmark and Greece.",https://twitter.com/RoyalFamily/status/1383134697786634243,"Apr 16, 2021",https://t.co/0fDTiNbM3P,http://t.co/0fDTiNbM3P
"The Duke of Edinburgh’s two fell ponies - Balmoral Nevis and Notlaw Storm – will pull a carriage designed by The Duke of Edinburgh.

At the age of 50 The Duke of Edinburgh took up carriage driving and competed in events until 2003.",https://twitter.com/RoyalFamily/status/1383133316954591236,"Apr 16, 2021",https://t.co/97NOB5VERh,http://t.co/97NOB5VERh
"His Royal Highness helped design the Land Rover which will carry his coffin.

The vehicle will be driven by soldiers from the Royal Electrical and Mechanical Engineers of which The Duke was Colonel-in-Chief.",https://twitter.com/RoyalFamily/status/1383132831409393664,"Apr 16, 2021",https://t.co/YDVgbBF29X,http://t.co/YDVgbBF29X
"The Queen’s Royal Hussars also have a ceremonial role. The regiment’s tribute to their former Colonel-in-Chief last week remembered him as:

‘Tough, tested in war, direct but with an acute sense of humour, he had a piercing interest in the Regiment, its people and activities.’",https://twitter.com/RoyalFamily/status/1383106183460970503,"Apr 16, 2021",https://t.co/qYccGZjWDS,http://t.co/qYccGZjWDS
"The Duke became the Colonel of the Grenadier Guards in 1975 and visited the battalion many times in the UK and on operations overseas.
 
At ceremonial events such as Trooping of the Colour, The Duke wore the uniform of the Grenadier Guards.",https://twitter.com/RoyalFamily/status/1383103663502196738,"Apr 16, 2021",https://t.co/541LyAdsy9,http://t.co/541LyAdsy9
"The Duke’s association with the Royal Marines lasted for his entire Royal working life. He was made Captain General in 1953, and his final official engagement ahead of his retirement was a Royal Marines parade at Buckingham Palace.",https://twitter.com/RoyalFamily/status/1383102994565242882,"Apr 16, 2021",https://t.co/eTsWBGNPEb,http://t.co/eTsWBGNPEb
"Many of the moments choreographed by The Duke demonstrate his lifelong commitment to the Armed Forces.

His Royal Highness’s coffin will be carried by both the Grenadier Guards and the Royal Marines during tomorrow’s ceremony.",https://twitter.com/RoyalFamily/status/1383102679782719495,"Apr 16, 2021",https://t.co/xAUl28sMs3,http://t.co/xAUl28sMs3
"The Duke of Edinburgh was closely involved in the planning of his own Funeral. As a result, it will involve a number of unique touches which reflect his life and work.",https://twitter.com/RoyalFamily/status/1383101540009926665,"Apr 16, 2021",https://t.co/AkoQNFYBNj,http://t.co/AkoQNFYBNj
"Flowers and condolences from around the Windsor Estate have been moved inside the Castle precinct.

Members of the public may wish to consider making a donation to a charity of their choice, or sign the online Book of Condolence. Visit  to find out more.",https://twitter.com/RoyalFamily/status/1383068320161730560,"Apr 16, 2021",https://t.co/fKZVORz7rk,http://t.co/fKZVORz7rk
"The Earl and Countess of Wessex and Lady Louise view a selection of messages and flowers left by members of the public in memory of The Duke of Edinburgh, as well as tributes from organisations that His Royal Highness was affiliated with.",https://twitter.com/RoyalFamily/status/1383067319568625674,"Apr 16, 2021",https://t.co/HBkimO7Rl6,http://t.co/HBkimO7Rl6
"RT @RoyalNavy: #RoyalNavy sailors and @RoyalMarines have been rehearsing for the funeral of His Royal Highness The Duke of Edinburgh.

They…",https://twitter.com/RoyalFamily/status/1383002554200625156,"Apr 16, 2021",,
"RT @RoyalAirForce: Personnel from the @RoyalNavy, @BritishArmy & the RAF are preparing for the funeral of His Royal Highness The Duke of Ed…",https://twitter.com/RoyalFamily/status/1383002382091616256,"Apr 16, 2021",,
RT @BritishArmy: Service personnel from across the country have come together for rehearsals before the funeral of The Duke of Edinburgh. W…,https://twitter.com/RoyalFamily/status/1383002339691335681,"Apr 16, 2021",,
You will be able to watch a live stream of the ceremony on the Royal Family's YouTube channel from approximately 2.30pm BST on Saturday 17 April 2021.,https://twitter.com/RoyalFamily/status/1382775581901733888,"Apr 15, 2021",https://t.co/3BSXYUigb0,http://t.co/3BSXYUigb0
"Earlier today, further details of The Duke of Edinburgh's Funeral were released, including more information about the Procession and which members of the Royal Family will be attending.

Find out more on the Royal Family's website:",https://twitter.com/RoyalFamily/status/1382775346269978629,"Apr 15, 2021",https://t.co/HYtYUDvE4Q,http://t.co/HYtYUDvE4Q
"The Duke learned to fly with @RoyalAirForce at White Waltham and gained his RAF Wings in 1953, his helicopter wings with the Royal Navy in 1956, and his Private Pilots Licence in 1959. He gave up flying in 1997 after accumulating 5,986 hours as a pilot in 59 types of aircraft.",https://twitter.com/RoyalFamily/status/1382742048168685571,"Apr 15, 2021",https://t.co/WbPvjhGsRS,http://t.co/WbPvjhGsRS
"As President of the Central Council of Physical Recreation (now @sportrectweets), Prince Philip was instrumental in saving it from extinction in 1971. HRH championed the organisation where the representatives of over 220 different sports could share their views. Find out more ⬇️",https://twitter.com/RoyalFamily/status/1382739226979147777,"Apr 15, 2021",https://t.co/Vz7VsOM1LS,http://t.co/Vz7VsOM1LS
"The Duke of Edinburgh was President of @BritAthletics for 59 years, and @thecgf between 1955 and 1990.

In his role as President of @FEI_Global, The Duke was responsible for the organisation of all equestrian sporting events at five @Olympics Games between 1968 and 1984.",https://twitter.com/RoyalFamily/status/1382738053668745217,"Apr 15, 2021",https://t.co/iCuNP7GKwr,http://t.co/iCuNP7GKwr
RT @LordsTaverners:,https://twitter.com/RoyalFamily/status/1382736821143150598,"Apr 15, 2021",https://t.co/LvlT7zilI8,http://t.co/LvlT7zilI8
RT @FieldsInTrust: A desire to improve access to green spaces for young people in urban areas was said to be behind The Duke of Edinburgh's…,https://twitter.com/RoyalFamily/status/1382735332202979332,"Apr 15, 2021",,
"The Duke of Edinburgh became President of National Playing Fields Association (now @FieldsInTrust) in 1948 and for the first half of 1949 worked full-time as their Director-General.

#DidYouKnow HRH, working with Frank Sinatra, was behind the first ever charity single...",https://twitter.com/RoyalFamily/status/1382735098848641025,"Apr 15, 2021",https://t.co/RO71mngWRD,http://t.co/RO71mngWRD
"The Duke of Edinburgh had a passion for sports, and played an influential part in the administration of many sporting and recreation charities in the role of President or Patron.

Find out more:",https://twitter.com/RoyalFamily/status/1382731949794598917,"Apr 15, 2021",https://t.co/HAGZ55Aegt,http://t.co/HAGZ55Aegt
"RT @ClarenceHouse: Flowers and condolences from outside Buckingham Palace and within @theroyalparks have been moved to the gardens. 

Membe…",https://twitter.com/RoyalFamily/status/1382654490139107328,"Apr 15, 2021",,
"At Marlborough House Gardens today, The Prince of Wales and The Duchess of Cornwall viewed a selection of flowers that have been left by members of the public in memory of The Duke of Edinburgh.",https://twitter.com/RoyalFamily/status/1382654029235388416,"Apr 15, 2021",https://t.co/vZQ3KNkIKF,http://t.co/vZQ3KNkIKF
"""Thank you one and all for helping to create such an extraordinary tribute.""

A message from The Earl of Wessex to all those who have shared #DofE stories and their memories of his father, The Duke of Edinburgh.

Read The Earl's message in full:",https://twitter.com/RoyalFamily/status/1382619108617949185,"Apr 15, 2021",https://t.co/p1HM5z1TjN,http://t.co/p1HM5z1TjN
"The Duke of Edinburgh remained committed to the @DofE and @intaward from its inception and continued to be involved.

In total, His Royal Highness attended over 500 Gold Award ceremonies, attended by up to 300 young people at a time, since the #DofE was founded.",https://twitter.com/RoyalFamily/status/1382615899337863170,"Apr 15, 2021",https://t.co/fdAhWpSfCY,http://t.co/fdAhWpSfCY
"Today @intaward launch the first-ever global collection of Award memories.

Find out more at  #WorldReady",https://twitter.com/RoyalFamily/status/1382605538194812928,"Apr 15, 2021",https://t.co/GzMg8EMiiE,http://t.co/GzMg8EMiiE
"The #DofE is widely recognised as the world’s leading youth achievement award. Over 13 million people have participated in the @intaward in more than 168 countries. 

Listen to award participants and holders from around the world reflect on what the #DofE means to them...",https://twitter.com/RoyalFamily/status/1382604508111515649,"Apr 15, 2021",https://t.co/WdRjDjiS2o,http://t.co/WdRjDjiS2o
"RT @DofEScotland: After completing her Bronze, Silver then Gold @DofE Awards Kirsty is confident and ""a lot happier"". ""DofE gave me the foc…",https://twitter.com/RoyalFamily/status/1382603742332223488,"Apr 15, 2021",,
"In tribute to The Duke of Edinburgh, @DofE are collecting and sharing people's #DofE stories and experiences, creating the first-ever nationwide collection of 'DofE memories.'

Throughout the UK, over 300,000 people are usually taking part in DofE programmes at any one time.",https://twitter.com/RoyalFamily/status/1382601413394628608,"Apr 15, 2021",https://t.co/3El8bfSZlJ,http://t.co/3El8bfSZlJ
"Inspired by the Moray Badge, for which Prince Philip had worked whilst a pupil at Gordonstoun School, The Duke of Edinburgh's Award challenged young people to serve their communities, experience adventure and to develop and learn outside the classroom.",https://twitter.com/RoyalFamily/status/1382598106903105536,"Apr 15, 2021",https://t.co/l7cX0oMSke,http://t.co/l7cX0oMSke
"""It's what I like to describe as a do-it-yourself growing up kit.""

The Duke of Edinburgh founded the #DofE awards in 1956. Now operating in more than 140 countries, @DofE has helped to transform the lives of millions of young people in the UK and across the globe @intaward.",https://twitter.com/RoyalFamily/status/1382592151436005377,"Apr 15, 2021",https://t.co/LI3pPOd0mi,http://t.co/LI3pPOd0mi
"HRH is seen here at the tiller of the Dragon class yacht ‘Bluebottle’, named after the colour of its hull.   

The yacht was a wedding present to The Queen and The Duke, and was loaned to Lt Cdr Graham Mann, who won a Bronze medal at the 1956 Melbourne Olympic Games in her.",https://twitter.com/RoyalFamily/status/1382437522526121984,"Apr 14, 2021",https://t.co/dNsNk7dUfs,http://t.co/dNsNk7dUfs
"The Duke of Edinburgh was a keen sailor. From 1956 to 1970 and then again from 1975 to 1980, he served as President of the @RYA.",https://twitter.com/RoyalFamily/status/1382437146712236037,"Apr 14, 2021",https://t.co/mM193qCodG,http://t.co/mM193qCodG
"During the visit, Her Royal Highness spoke fondly of learning to sail with her father, and later attending sailing events with him.   

📸 The Princess Royal with The Duke of Edinburgh at Cowes Week in 1970.",https://twitter.com/RoyalFamily/status/1382434435279245313,"Apr 14, 2021",https://t.co/9Yv9lvbkwj,http://t.co/9Yv9lvbkwj
Today The Princess Royal visited the @RVYCIOW and the @royal_squadron on the Isle of Wight. Her father The Duke of Edinburgh was Admiral and later Commodore of the Royal Yacht Squadron.,https://twitter.com/RoyalFamily/status/1382434159096958978,"Apr 14, 2021",https://t.co/Js2aqRjS1t,http://t.co/Js2aqRjS1t
"Today, members of the Royal Family have shared photographs of The Duke of Edinburgh, remembering him as a father, grandfather and great-grandfather.",https://twitter.com/RoyalFamily/status/1382387280380321797,"Apr 14, 2021",https://t.co/vG7CEg1C3M,http://t.co/vG7CEg1C3M
"The Queen and The Duke of Edinburgh surrounded by seven of their great-grandchildren at Balmoral Castle in 2018. 

©️ The Duchess of Cambridge",https://twitter.com/RoyalFamily/status/1382378241437138945,"Apr 14, 2021",https://t.co/xMmbzfDHwL,http://t.co/xMmbzfDHwL
"During his public life, The Duke has been called upon to make a great many speeches and lectures. The estimate is 5,496, over 71 years. His collected speeches cover over a yard and a half of shelf space.",https://twitter.com/RoyalFamily/status/1382329772806696964,"Apr 14, 2021",https://t.co/SoCRLQODBn,http://t.co/SoCRLQODBn
"From finding the elusive on/off switch on the television to wondering why the controls are located on the far side of the shower, The Duke of Edinburgh questioned the design of many household gadgets in a speech to @theRSAorg in 2002.

Read it here:",https://twitter.com/RoyalFamily/status/1382321445896921101,"Apr 14, 2021",https://t.co/oEJMvFO2az,http://t.co/oEJMvFO2az
"The Duke initiated projects to draw attention to the importance of design and to enhance the status, particularly, of industrial designers. Through @designcouncil, he created the Prince Philip Designer’s Prize.

🎥Watch HRH talk about the prize in 2009:",https://twitter.com/RoyalFamily/status/1382317782612729857,"Apr 14, 2021",https://t.co/fybgFy2t76,http://t.co/fybgFy2t76
"The Duke of Edinburgh always had an interest in design.

HRH designed a bracelet as his wedding present to The Queen with stones from his mother's tiara and was also responsible for overseeing the construction and design of the Royal Yacht Britannia:",https://twitter.com/RoyalFamily/status/1382317778363940866,"Apr 14, 2021",https://t.co/FmmtT8eOqa,http://t.co/FmmtT8eOqa
RT @V_and_A: The V&A mourns the loss of His Royal Highness the Duke of Edinburgh. A long-standing supporter and champion of British design…,https://twitter.com/RoyalFamily/status/1382292201087115264,"Apr 14, 2021",,
"In 1965, the Prime Minister, Harold Wilson, invited The Duke to chair a committee to design a scheme rewarding industrial and export achievement.

The scheme became The Queen’s Awards for Enterprise @TheQueensAwards.",https://twitter.com/RoyalFamily/status/1382291917036212224,"Apr 14, 2021",https://t.co/8XiyXJvk8t,http://t.co/8XiyXJvk8t
